,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
39,0,0,0,0,10,1,2,1,0,0,2,0,2,2,0,1,0,1238,2625,1
40,1,0,1,1,9,1,0,0,0,2,0,0,0,0,1,0,3,367,1556,0
41,0,0,1,1,69,1,2,0,2,2,0,0,2,0,2,1,1,698,5330,0
42,0,0,1,1,16,1,0,2,1,1,1,1,1,1,1,0,3,44,1426,0
43,0,0,0,0,62,1,2,0,2,2,2,2,2,0,2,1,1,896,5320,0
44,0,0,1,0,12,1,2,0,2,2,0,2,2,0,0,1,2,830,2440,0
45,0,0,0,0,48,1,2,1,0,0,0,0,0,2,0,1,2,984,4843,0
46,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,361,499,0
47,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,912,646,1
48,1,0,0,0,51,1,2,0,2,0,0,2,2,2,2,1,1,894,5010,0
49,0,0,1,1,68,1,2,0,2,0,2,2,0,0,2,1,1,610,5025,0
50,0,1,0,0,42,1,2,1,0,2,0,0,2,0,0,1,2,1097,4803,0
51,0,0,0,0,14,1,0,1,2,2,0,0,2,2,0,1,1,1262,3118,1
52,0,1,1,0,24,1,2,0,2,0,0,2,2,0,0,1,1,704,3476,0
53,0,1,1,0,7,1,2,1,0,2,0,0,0,0,0,1,1,912,1851,1
54,0,1,1,1,59,1,0,0,2,2,2,2,0,2,1,1,1,803,5122,0
55,1,1,0,0,17,1,2,1,0,0,0,0,2,2,0,1,2,1196,3475,1
56,0,0,1,1,62,1,2,1,2,0,0,0,2,2,1,1,1,1273,5959,0
57,1,1,1,1,65,1,2,1,0,2,2,2,2,2,1,1,2,1439,6226,0
58,0,0,1,1,33,1,2,2,1,1,1,1,1,1,2,0,1,91,2300,0
59,0,0,0,0,71,1,2,1,0,0,2,2,2,2,2,1,1,1422,6416,0
60,0,0,1,0,46,1,2,1,0,0,2,0,2,2,0,1,2,1290,5242,0
61,1,0,0,0,59,1,2,1,0,2,0,0,2,0,0,1,0,1090,5584,0
62,1,0,1,0,71,0,1,0,2,2,2,0,0,0,2,0,0,265,4323,0
63,0,0,1,1,17,1,0,0,0,0,2,2,0,0,1,1,1,446,2406,0
64,0,0,0,0,8,1,2,1,0,0,0,0,2,2,0,0,2,1175,2242,1
65,0,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,2,812,983,0
66,1,0,1,0,46,1,2,1,0,2,0,0,0,0,1,1,2,877,4717,0
67,0,0,0,0,30,1,0,0,0,2,2,2,2,2,2,0,3,883,4054,0
68,0,0,1,1,49,1,0,2,1,1,1,1,1,1,2,0,0,32,2361,0
69,1,0,0,0,9,1,0,1,2,0,2,0,0,0,0,1,3,896,2286,0
70,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,357,178,0
71,0,0,1,1,51,1,0,2,1,1,1,1,1,1,1,1,2,37,2606,0
72,1,1,1,1,63,1,2,1,2,0,2,2,2,2,2,1,0,1497,6231,0
73,1,0,1,1,61,1,2,2,1,1,1,1,1,1,2,1,0,77,3114,0
74,0,0,0,1,2,1,0,0,2,0,0,2,0,2,0,1,0,617,772,0
75,0,1,0,0,55,1,2,1,2,2,2,0,2,2,1,0,2,1477,5895,0
76,0,0,0,0,45,1,0,0,0,0,0,0,0,2,1,0,1,471,4180,0
77,0,0,1,1,7,1,0,0,2,2,0,0,0,0,0,0,3,451,1567,0
78,1,1,0,0,29,1,0,0,2,2,0,0,2,2,0,1,2,801,3794,0
79,0,0,1,1,44,1,2,2,1,1,1,1,1,1,1,1,1,110,2788,0
80,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,2,886,383,1
81,0,0,1,1,10,0,1,0,2,0,0,0,2,2,0,0,2,387,1733,0
82,0,0,1,0,6,1,0,1,0,0,2,0,0,0,0,1,0,809,1597,1
83,0,0,0,0,41,1,0,1,0,2,2,2,2,2,0,1,0,1350,5069,0
84,0,0,1,0,48,1,0,2,1,1,1,1,1,1,2,1,0,32,2430,0
85,1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,1,1,1266,2338,0
86,0,0,1,0,34,1,0,0,2,0,0,0,2,0,1,1,0,582,3868,0
87,0,0,1,1,47,1,0,2,1,1,1,1,1,1,2,0,0,42,2553,0
88,0,0,1,1,45,1,0,2,1,1,1,1,1,1,2,1,3,28,2350,0
89,1,0,1,0,28,0,1,0,0,0,0,0,2,0,0,0,3,173,2476,0
90,1,0,1,1,29,1,0,1,0,2,2,0,0,0,0,0,0,940,4103,0
91,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,800,344,0
92,1,0,1,1,65,1,2,0,2,0,2,2,2,2,2,1,3,974,5705,0
93,0,0,0,0,64,1,2,1,2,2,2,0,2,2,0,1,1,1486,6234,0
94,1,0,0,0,71,1,2,1,0,2,2,0,2,2,2,1,0,1298,6326,0
95,0,0,0,0,11,1,2,1,2,0,0,0,0,0,0,1,2,878,2352,1
96,1,0,1,1,70,1,2,0,2,2,0,2,0,0,1,1,1,661,5266,0
97,1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,50,557,1
98,1,0,0,0,51,1,0,2,1,1,1,1,1,1,2,0,0,49,2626,0
99,0,1,1,0,24,1,0,1,0,2,2,0,2,2,0,1,2,1251,4066,1
100,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,33,26,0
101,0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,2,18,11,0
102,1,0,0,0,37,1,2,1,0,0,2,2,2,0,1,0,0,1187,4691,0
103,0,1,1,0,65,0,1,0,0,2,2,0,2,0,1,0,0,316,4371,0
104,1,0,1,0,67,1,2,1,0,2,2,2,2,2,2,1,0,1468,6366,1
105,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,78,508,0
106,0,0,1,1,71,1,2,1,2,2,0,0,2,2,1,1,2,1357,6288,0
107,0,0,0,0,31,0,1,0,2,0,0,0,0,0,1,0,3,147,2353,0
108,1,0,0,0,42,1,2,1,0,0,0,0,2,2,1,0,3,1174,4850,0
109,1,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,1,17,3009,0
110,1,0,1,0,54,1,2,1,2,2,0,0,2,0,0,1,2,1221,5501,1
111,0,0,0,0,51,1,0,0,2,0,2,2,0,0,1,0,1,507,4380,0
112,0,0,0,0,42,1,0,1,0,2,2,0,2,0,0,1,2,1125,4867,0
113,0,1,1,0,36,1,2,1,0,0,0,0,0,0,0,1,2,836,4272,1
114,0,0,1,1,63,0,1,0,0,2,0,2,2,2,2,1,2,450,4591,0
115,1,0,1,1,2,1,0,1,2,2,0,0,2,0,0,0,2,1089,998,0
116,0,0,0,0,35,0,1,0,2,0,0,0,0,0,2,0,0,161,2658,0
117,0,0,1,1,9,1,2,1,2,0,0,0,2,2,0,1,2,1285,2564,1
118,0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,0,3,42,2205,0
119,1,0,1,1,26,1,2,1,0,2,0,2,0,0,0,1,1,998,3812,0
120,0,0,1,1,55,1,2,1,0,0,2,0,2,2,1,1,1,1276,5612,0
121,0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,43,552,0
122,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,794,938,1
123,0,0,1,1,6,1,0,0,2,0,0,0,0,0,0,0,3,390,1275,0
124,0,0,1,1,3,1,0,2,1,1,1,1,1,1,0,0,3,46,262,0
125,1,0,0,0,32,1,0,1,2,0,0,2,2,0,2,1,2,1071,4373,0
126,0,1,0,0,26,1,2,1,0,0,2,0,0,0,0,1,2,860,3804,1
127,1,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,0,64,3438,0
128,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,24,17,0
129,1,1,0,0,70,0,1,0,2,2,0,0,2,2,1,1,2,487,4886,0
130,0,0,0,0,12,1,2,1,0,0,0,0,0,2,0,1,2,1013,2785,0
131,0,0,1,1,24,0,1,0,2,2,2,0,2,2,0,1,1,516,3210,1
132,1,0,0,0,66,1,0,0,0,0,0,2,0,0,2,0,0,387,4509,0
133,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,198,95,1
134,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,292,408,1
135,0,0,0,0,42,1,2,2,1,1,1,1,1,1,2,1,1,106,2744,0
136,0,0,0,0,22,1,0,1,2,0,0,0,0,0,0,1,0,806,3502,0
137,0,0,1,1,63,1,0,2,1,1,1,1,1,1,2,0,3,33,2888,0
138,1,0,0,1,56,1,0,2,1,1,1,1,1,1,2,1,3,21,2719,0
139,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,723,305,1
140,0,1,1,1,71,1,2,0,2,2,2,2,2,2,2,1,1,1053,6008,0
141,0,0,0,0,7,1,2,0,2,0,0,2,0,2,0,0,2,737,1729,1
142,0,0,1,0,60,1,2,1,0,2,0,0,2,2,2,1,0,1301,5825,0
143,1,0,0,0,63,1,2,1,2,2,0,0,0,0,1,1,1,980,5518,0
144,1,1,1,0,70,1,2,2,1,1,1,1,1,1,2,0,0,71,3479,0
145,0,0,1,1,64,1,2,1,2,2,0,2,2,0,2,1,1,1261,6003,0
146,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,3,21,255,0
147,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,318,157,1
148,1,0,0,1,29,1,0,0,0,2,2,0,2,0,1,0,1,617,3656,0
149,1,0,1,1,14,1,0,0,0,2,2,2,0,2,0,1,3,704,2577,0
150,0,0,1,1,7,1,0,0,0,0,0,2,2,2,0,1,2,685,1730,0
151,1,0,0,0,6,1,2,1,0,0,0,0,2,2,0,0,3,1187,1888,1
152,0,0,1,1,69,1,2,1,2,2,2,0,2,2,1,1,1,1433,6435,0
153,1,0,1,1,61,1,0,0,2,2,2,2,2,2,2,0,2,1016,5485,0
154,0,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,23,555,0
155,0,0,1,1,13,1,0,1,0,0,0,0,0,2,0,1,0,917,2697,0
156,0,0,0,0,21,1,2,1,0,0,0,0,2,0,0,1,0,977,3556,0
157,1,0,1,1,21,1,0,2,1,1,1,1,1,1,1,0,3,32,1433,0
158,1,0,1,1,15,1,0,0,2,0,2,0,2,0,2,0,3,612,2501,0
159,1,0,0,0,9,1,2,2,1,1,1,1,1,1,2,0,0,106,1007,0
160,0,0,0,1,12,1,0,0,2,2,0,0,0,0,0,1,2,478,2077,0
161,0,0,1,0,19,1,2,1,2,0,0,0,0,0,0,0,2,945,3307,1
162,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,708,616,0
163,1,0,0,0,52,1,2,0,0,2,2,2,0,2,2,1,0,784,4870,0
164,0,0,1,1,10,1,0,2,1,1,1,1,1,1,1,0,3,41,951,0
165,1,0,1,0,68,1,0,2,1,1,1,1,1,1,2,0,3,27,3010,0
166,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,732,1072,1
167,1,0,1,0,71,1,2,0,2,2,2,2,2,2,2,1,0,1073,5937,0
168,1,1,1,0,57,0,1,0,0,2,2,0,0,2,0,1,2,311,4152,1
169,0,0,1,1,15,1,0,2,1,1,1,1,1,1,0,0,2,37,1195,0
170,1,0,1,0,42,1,0,1,2,0,2,2,0,0,1,1,0,979,4655,0
171,0,0,1,0,1,1,2,1,0,0,2,2,2,2,0,1,2,1362,980,1
172,1,0,1,0,13,1,0,0,0,2,2,2,2,2,2,0,3,938,2735,0
173,0,0,1,0,52,1,0,1,0,0,2,0,2,2,1,1,0,1184,5402,1
174,0,0,0,0,31,1,0,2,1,1,1,1,1,1,1,0,0,40,1885,0
175,0,0,1,0,33,1,2,2,1,1,1,1,1,1,0,0,2,86,2105,0
176,0,1,0,0,14,1,2,1,0,0,0,0,0,0,0,1,3,795,2686,1
177,0,1,0,0,6,1,0,1,2,0,0,0,0,0,0,0,0,835,1611,1
178,0,0,1,1,14,1,2,1,0,2,2,0,2,2,0,1,0,1381,3277,0
179,1,0,1,0,60,1,0,2,1,1,1,1,1,1,1,1,1,40,2839,0
180,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,144,76,1
181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,311,152,0
182,1,0,0,0,7,1,2,1,0,0,0,0,0,2,0,0,0,984,1901,1
183,1,0,1,1,32,1,0,0,2,0,2,0,2,2,1,0,1,801,4027,0
184,0,0,0,0,12,1,0,1,0,2,2,0,0,0,0,1,2,884,2636,1
185,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,88,55,1
186,1,0,0,0,19,1,0,0,0,2,0,0,0,0,0,1,3,412,2498,0
187,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,2,152,411,0
188,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,0,2,22,987,0
189,0,0,1,0,39,1,2,0,0,2,0,0,0,0,0,0,1,490,3973,0
190,1,0,1,1,42,1,2,0,2,0,0,2,0,2,1,1,1,751,4459,0
191,1,0,1,0,5,1,0,1,0,2,2,0,0,2,0,1,2,1112,1665,1
192,0,0,1,1,68,1,0,2,1,1,1,1,1,1,2,0,0,24,3024,0
193,0,0,1,1,71,1,2,1,2,2,2,0,2,2,2,0,1,1462,6476,0
194,1,0,1,1,58,1,0,2,1,1,1,1,1,1,2,0,1,15,2752,0
195,0,0,1,0,19,1,0,1,2,2,0,2,2,0,0,1,2,1217,3633,0
196,1,0,1,1,23,1,2,2,1,1,1,1,1,1,2,1,0,74,1774,0
197,1,0,0,0,58,1,2,1,0,2,2,2,2,2,0,1,2,1492,6040,0
198,1,0,1,1,71,1,2,1,0,2,2,2,2,2,2,1,0,1505,6459,0
199,1,0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,44,37,0
200,0,0,1,0,26,1,0,1,2,0,0,2,2,2,1,1,1,1316,4174,0
201,0,0,0,0,13,1,0,1,0,2,0,2,0,0,0,1,1,900,2638,0
202,1,0,1,1,70,1,2,1,2,0,2,0,2,2,2,0,2,1385,6316,0
203,1,0,0,1,12,1,0,1,0,0,0,0,2,0,0,1,1,865,2521,0
204,1,0,0,0,43,1,0,1,0,0,0,0,0,0,0,0,1,691,4319,0
205,0,0,0,0,32,1,0,1,0,2,0,2,0,0,1,1,0,898,4177,0
206,1,0,1,1,71,0,1,0,2,2,2,2,0,2,2,1,1,467,4995,0
207,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,897,391,1
208,0,0,0,0,18,1,0,1,2,0,2,2,2,2,0,1,2,1406,3661,1
209,1,0,1,0,63,1,0,1,0,2,2,2,2,2,1,1,1,1325,6085,0
210,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,325,422,1
211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,97,62,0
212,1,0,0,1,60,1,0,2,1,1,1,1,1,1,2,0,3,24,2655,0
213,0,0,1,1,28,1,0,2,1,1,1,1,1,1,1,0,2,29,1684,0
214,1,1,1,0,22,1,2,1,0,0,0,0,0,2,0,0,2,1030,3692,0
215,0,0,1,0,56,0,1,0,2,2,2,0,2,2,0,1,0,519,4597,0
216,1,0,1,1,71,0,1,0,2,2,2,2,0,0,2,0,1,310,4438,0
217,1,0,1,0,65,0,1,0,2,2,2,2,2,0,2,1,0,490,4780,0
218,1,0,1,1,64,1,2,0,0,2,2,2,2,2,2,1,0,978,5536,0
219,0,0,0,0,7,1,0,1,0,0,0,0,2,0,0,1,0,899,1839,0
220,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,717,1057,1
221,0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,0,0,87,3566,0
222,1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,1,2,33,26,0
223,1,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,3,377,779,1
224,0,0,0,0,11,1,0,2,1,1,1,1,1,1,1,1,0,16,894,0
225,1,0,0,0,23,0,1,0,2,0,0,0,2,2,1,1,3,388,2902,0
226,0,0,1,1,30,1,0,0,2,0,2,2,2,2,1,1,3,922,4083,0
227,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,462,224,1
228,1,0,0,0,29,1,2,1,0,0,0,2,0,2,0,1,1,1090,4193,0
229,0,0,1,1,46,1,2,0,2,2,0,2,2,2,2,1,1,1000,4947,0
230,1,0,0,0,53,1,2,1,2,2,0,2,2,2,2,1,1,1430,5731,0
231,1,0,0,0,49,1,0,1,2,2,0,2,0,2,0,1,1,1157,5263,0
232,1,0,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,986,423,1
233,0,0,0,0,71,1,0,2,1,1,1,1,1,1,2,0,1,34,3287,0
234,0,0,0,0,28,1,2,2,1,1,1,1,1,1,0,0,2,95,1976,0
235,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,3,446,559,1
236,0,0,0,0,9,0,1,0,0,0,0,2,0,0,2,1,3,137,1134,0
237,1,0,1,0,17,1,2,1,0,0,0,0,0,0,0,1,2,770,2928,0
238,0,1,0,0,10,1,0,1,0,2,0,0,2,2,0,1,2,1187,2649,1
239,1,0,0,0,15,1,0,2,1,1,1,1,1,1,2,0,3,24,1098,0
240,0,0,0,0,71,1,2,0,0,2,2,2,2,2,2,0,0,1026,5975,0
241,1,0,0,0,71,1,2,1,0,2,2,2,2,2,2,0,0,1453,6423,0
242,0,0,1,1,40,1,0,0,2,0,0,2,2,2,1,1,1,800,4469,0
243,0,1,1,0,64,1,0,1,2,2,2,0,0,2,0,0,2,1175,5887,0
244,0,1,0,0,12,1,0,0,0,2,2,0,0,0,0,1,2,454,2021,0
245,1,1,0,0,3,1,0,1,2,0,0,0,0,0,0,0,2,813,1075,0
246,1,0,0,0,40,1,2,0,0,0,2,0,0,2,1,0,3,627,4073,0
247,1,1,0,0,14,1,0,1,0,2,0,0,0,0,0,1,2,794,2582,1
248,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,347,173,1
249,1,0,0,0,41,1,2,1,2,2,2,0,0,2,1,1,2,1260,5048,0
250,0,0,1,0,50,1,0,1,2,2,2,0,2,0,1,1,2,1157,5203,0
251,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,722,660,1
252,1,1,1,0,0,0,1,0,0,2,0,0,2,0,0,0,2,246,116,1
253,1,0,0,1,31,1,2,0,0,2,2,2,2,2,1,0,1,968,4140,0
254,1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,1,3,26,821,0
255,0,0,1,1,66,0,1,0,0,2,2,2,2,2,2,1,2,533,4946,0
256,0,0,1,1,60,1,2,1,2,2,2,2,2,2,2,0,1,1546,6206,0
257,1,0,0,0,49,1,2,1,2,2,2,2,2,2,1,0,1,1533,5745,0
258,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,297,401,1
259,0,1,1,0,28,0,1,0,2,0,2,0,0,2,0,1,2,305,2804,0
260,1,1,0,0,2,0,1,0,0,0,2,0,0,2,0,1,2,260,606,1
261,1,1,0,0,12,1,2,1,0,2,2,0,2,2,0,1,2,1412,3011,1
262,1,1,1,0,56,1,2,1,0,2,0,0,0,2,0,1,2,1089,5369,0
263,0,0,0,0,30,0,1,0,2,2,0,2,0,2,2,1,0,373,3231,0
264,0,0,1,0,44,1,2,1,2,2,2,2,2,2,1,0,3,1519,5419,0
265,0,0,1,1,60,1,2,0,2,2,2,2,2,2,2,0,3,1054,5615,0
266,1,0,0,0,49,1,2,2,1,1,1,1,1,1,2,0,0,90,2756,0
267,0,1,0,0,18,1,0,1,2,2,0,2,2,2,0,1,3,1374,3715,0
268,1,0,0,0,58,1,0,2,1,1,1,1,1,1,2,0,3,16,2621,1
269,0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,1,1,77,3449,0
270,0,1,0,0,15,1,0,1,0,0,0,2,2,2,0,1,2,1176,3224,1
271,1,0,1,0,56,1,0,0,2,2,0,2,0,0,2,1,2,537,4604,0
272,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,55,1
273,1,1,1,0,19,1,2,1,0,2,0,2,2,2,0,0,2,1415,3825,0
274,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,726,308,1
275,1,0,1,0,4,1,2,1,0,2,0,2,0,0,0,1,2,1002,1378,1
276,0,0,1,0,51,1,2,1,0,2,2,0,2,2,0,1,2,1375,5667,1
277,1,1,1,0,20,1,0,0,2,2,0,0,0,2,0,1,0,626,2977,0
278,1,0,0,0,13,0,1,0,0,0,2,2,2,2,0,1,2,458,2090,0
279,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,387,986,0
280,0,0,0,0,5,1,0,0,2,2,0,0,0,0,0,0,3,461,1201,0
281,0,0,0,0,9,1,0,0,0,2,0,0,0,0,0,0,2,400,1602,0
282,0,0,0,1,0,1,2,2,1,1,1,1,1,1,0,0,3,100,65,0
283,0,0,0,0,67,1,2,0,2,0,0,0,0,0,0,0,3,447,4732,0
284,1,0,1,1,17,1,0,1,0,0,2,0,2,2,0,0,3,1190,3504,1
285,0,0,0,0,21,1,2,1,0,0,0,0,0,0,1,1,1,826,3509,0
286,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,2,292,2351,0
287,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,714,296,1
288,1,1,0,0,7,1,0,1,0,2,0,0,0,0,0,1,2,796,1808,1
289,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,1,302,1463,1
290,1,1,0,0,23,1,2,1,0,0,0,0,0,0,0,1,2,828,3425,1
291,1,0,0,0,34,1,0,0,2,2,2,0,0,0,1,0,3,566,3729,0
292,1,0,1,1,22,1,0,1,0,2,2,2,0,0,1,0,3,1030,3667,0
293,0,1,0,0,5,1,0,1,0,0,0,0,2,2,0,1,2,1079,1738,0
294,0,0,0,0,11,1,0,2,1,1,1,1,1,1,0,0,3,23,898,0
295,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,34,27,0
296,0,0,1,1,70,1,0,1,0,0,2,0,0,0,2,0,2,827,5574,0
297,1,1,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,1296,4598,0
298,1,0,1,1,39,1,2,0,0,0,2,0,2,2,0,1,2,797,4358,0
299,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,3,778,332,1
300,1,0,0,0,22,1,0,0,0,0,0,0,2,2,1,1,0,625,3220,0
301,0,1,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,1196,1369,1
302,1,0,0,0,3,1,0,1,0,0,2,2,0,2,0,1,2,1100,1286,0
303,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,0,1,548,4950,0
304,1,0,0,1,37,1,2,1,0,2,0,0,0,0,0,1,3,936,4439,0
305,1,0,1,1,51,1,2,2,1,1,1,1,1,1,2,0,3,88,2805,0
306,1,1,1,0,31,1,2,1,0,0,0,0,0,0,0,1,2,804,3927,1
307,1,0,1,1,28,1,0,0,0,0,2,2,2,2,2,0,3,817,3753,0
308,1,1,1,1,37,1,2,1,0,2,0,0,2,2,0,0,2,1303,4755,0
309,1,0,0,1,47,1,2,0,2,0,2,0,2,2,1,1,1,874,4729,0
310,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,14,8,0
311,0,0,0,0,21,1,0,1,2,0,0,2,0,2,0,1,2,1073,3618,0
312,0,0,0,0,42,1,2,1,2,2,2,2,2,2,2,0,1,1545,5343,0
313,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,1,2,701,1253,0
314,1,0,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,911,1415,1
315,1,0,1,1,50,1,2,1,2,2,0,2,2,2,1,0,1,1469,5692,0
316,1,0,0,0,70,1,0,2,1,1,1,1,1,1,2,1,1,27,2996,0
317,0,0,1,1,37,1,0,0,2,2,0,2,2,2,1,0,1,905,4393,1
